NID,LID,px,py,pz,eta,phi
1.0000000000,2.0000000000,1.1780800000,0.4122790000,0.8744000000,0.6531285604,0.3366377649
1.0000000000,2.0000000000,1.0116300000,1.5027900000,-2.7207800000,-1.1958131164,0.9783063589
1.0000000000,2.0000000000,1.3467800000,-1.0666900000,3.1345800000,1.3622845605,-0.6698621828
1.0000000000,2.0000000000,0.8686400000,-0.9830620000,-0.6059400000,-0.4468753323,-0.8471125742
1.0000000000,2.0000000000,1.8590600000,0.0140177000,-1.6805800000,-0.8118140082,0.0075400656
1.0000000000,2.0000000000,1.9360500000,0.4045980000,-1.3571500000,-0.6412962743,0.2060162001
1.0000000000,2.0000000000,1.7605500000,0.5207520000,-0.4817550000,-0.2594791018,0.2875893814
1.0000000000,2.0000000000,1.3341400000,1.5016500000,-0.5607450000,-0.2756537242,0.8443995627
1.0000000000,2.0000000000,-0.5811910000,1.3422600000,-6.4599400000,-2.1910713259,1.9794187299
1.0000000000,2.0000000000,1.0503700000,-0.1959080000,0.8320140000,0.7159387804,-0.1843946135
1.0000000000,2.0000000000,-0.1390090000,-1.1345200000,5.3928100000,2.2555995660,-1.6927153426
1.0000000000,2.0000000000,-0.0790487000,-1.3273700000,-2.3940100000,-1.3506273278,-1.6302789491
1.0000000000,2.0000000000,0.9559550000,-0.7330760000,-0.6796150000,-0.5378385889,-0.6541994365
1.0000000000,2.0000000000,1.0692800000,0.0256416000,-0.7369690000,-0.6436496554,0.0239756533
1.0000000000,2.0000000000,0.5810330000,-0.8600200000,0.3145600000,0.2986160500,-0.9766317960
1.0000000000,2.0000000000,1.0447700000,-0.2023980000,-0.0003981920,-0.0003741723,-0.1913546267
1.0000000000,2.0000000000,0.4031730000,-2.3485200000,-3.6654500000,-1.2157931098,-1.4007824625
1.0000000000,2.0000000000,1.1114700000,-2.5421900000,-8.7949600000,-1.8708394895,-1.1586296148
1.0000000000,2.0000000000,1.1842000000,-0.1642820000,3.4877900000,1.7919752487,-0.1378484267
1.0000000000,2.0000000000,1.1410800000,0.3296230000,-0.3192570000,-0.2656589201,0.2812141373
1.0000000000,2.0000000000,-2.2987500000,0.0258859000,-5.0226500000,-1.5233567082,3.1303322704
1.0000000000,2.0000000000,1.2306900000,0.6226380000,1.2049500000,0.7891445074,0.4683771181
1.0000000000,2.0000000000,-1.5472500000,-0.7896760000,1.6999500000,0.8661638114,-2.6696804168
1.0000000000,2.0000000000,0.5834690000,-1.3350500000,-2.8521700000,-1.4245060218,-1.1587728362
1.0000000000,2.0000000000,0.6010880000,-1.6299800000,-4.5470900000,-1.6899575741,-1.2174985811
1.0000000000,2.0000000000,1.3182800000,-0.7819930000,-3.9822200000,-1.6830462439,-0.5353984955
1.0000000000,2.0000000000,-0.1983030000,-1.2404900000,1.1949000000,0.8464218399,-1.7293137196
1.0000000000,2.0000000000,-0.1988370000,1.9444600000,-0.5671300000,-0.2862271683,1.6727003278
1.0000000000,2.0000000000,-0.5219090000,0.8732190000,-1.4922800000,-1.1762622805,2.1095111248
1.0000000000,2.0000000000,0.8279850000,1.0698000000,1.5888800000,0.9995609910,0.9121348167
1.0000000000,2.0000000000,0.3914970000,0.9754210000,2.8839700000,1.7341847027,1.1891162958
1.0000000000,2.0000000000,-1.2851800000,0.0716782000,3.1590400000,1.6301003253,3.0858774874
1.0000000000,2.0000000000,-1.2007200000,0.4109150000,4.0179300000,1.8696736199,2.8118621038
1.0000000000,2.0000000000,-1.6119900000,0.7268820000,0.8187030000,0.4478665184,2.7179721297
1.0000000000,2.0000000000,-1.1512700000,-1.2474300000,1.7458000000,0.9013511451,-2.3161275634
1.0000000000,2.0000000000,-0.0926772000,1.3948500000,1.3755100000,0.8699896972,1.6371412260
1.0000000000,2.0000000000,0.2451870000,1.6856600000,-0.4923300000,-0.2851481414,1.4263546956
