event_id, px, py, pz, eta, phi, mass, p_T
47, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
48, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
49, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
50, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
51, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
52, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
53, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
54, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
55, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
56, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
57, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
58, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
59, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
60, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
61, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
62, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
63, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
64, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
65, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
66, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
67, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
68, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
69, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
70, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
71, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
72, 462.4918280000,  11.9171275400,  77.3768331000,  0.1456656418,  0.0257615171,  257.1768549270,  462.6453381323
73, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
74, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
75, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
76, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
77, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
78, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
79, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
80, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
81, 280.0257790000,  4.4024821700,  -186.8206447000,  -0.5124215648,  0.0157204080,  208.4226658106,  280.0603841207
82, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
83, 237.1740390000,  -88.9773942550,  -13.7405347000,  -0.0445639781,  -0.3589079126,  175.6066200294,  253.3150241576
84, 239.0396320000,  -53.1602461400,  -24.6515957700,  -0.0817229475,  -0.2188297090,  175.5662230935,  244.8794753269
85, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
86, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
87, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
88, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
89, 413.1867630000,  -35.7886252300,  204.6921183000,  0.4083417345,  -0.0864004600,  256.4399195715,  414.7338023531
90, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
91, 238.5108910000,  64.6272807450,  37.5552444700,  0.1207869313,  0.2646078334,  187.4546259696,  247.1115750873
92, 151.6545820000,  10.4390301600,  -7.0452417700,  -0.0365208056,  0.0687258472,  118.7003824967,  152.0134388542
93, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
94, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
95, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
96, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
97, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
98, 167.6800420000,  18.1426753900,  5.1743615000,  0.0233269906,  0.1077789015,  144.0445609054,  168.6586883485
99, 543.9192120000,  133.7518723450,  85.8901058000,  0.1336470334,  0.2411198394,  311.1732092320,  560.1229084214
100, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
101, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
102, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
103, 328.1785110000,  63.5663314700,  169.0477456850,  0.4195734551,  0.1913251720,  203.4458061561,  334.2780483052
104, 220.4393800000,  9.2193686400,  24.1093594000,  0.0855422756,  0.0417983346,  174.8216752774,  220.6320851846
105, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
106, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
107, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
108, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
109, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
110, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
111, 449.4638940000,  21.6925754700,  196.6887836850,  0.3808849131,  0.0482258000,  227.2670654379,  449.9870663032
112, 323.0853370000,  179.1655159400,  45.4832917000,  0.1003715962,  0.5063263295,  261.0966083648,  369.4379746134
113, 134.0330690000,  6.2132678700,  -16.8874677000,  -0.0984823855,  0.0463230685,  106.3298076914,  134.1770035557
114, 178.5494320000,  9.1370713900,  -6.7190295000,  -0.0281164626,  0.0511293026,  158.5209215555,  178.7830689442
115, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
116, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
117, 138.3807880000,  -9.0421559000,  -4.3076754000,  -0.0244334265,  -0.0652498078,  108.8365811563,  138.6758921760
118, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
119, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
120, 272.2092300000,  -126.7167910600,  42.1960487000,  0.1142442689,  -0.4356789516,  213.7100618944,  300.2582389107
121, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
122, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
123, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
124, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
125, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
126, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
127, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
